@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {32,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,241}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric

@data
107,16,2,?,?
107,15,2,?,?
107,16,2,?,?
107,16,1,?,?
107,16,2,?,?
107,14,2,?,?
108,14,3,18,1
108,15,3,18,3
108,14,2,16,3
108,13,2,17,2
108,15,3,17,3
108,15,3,18,3
108,15,3,17,2
108,15,2,17,2
108,14,3,17,1
108,16,2,17,2
108,15,2,18,2
108,13,2,17,1
108,15,2,17,2
108,15,2,17,2
108,13,2,17,3
108,14,2,18,2
108,13,2,18,1
108,16,2,16,2
108,14,2,17,2
108,15,2,18,3
108,16,2,20,2
108,16,3,17,2
108,14,2,19,3
108,14,2,19,2
108,14,2,19,2
108,16,2,17,2
108,15,2,17,2
108,13,3,19,2
108,15,3,18,2
108,15,2,18,2
108,15,2,18,2
108,15,2,17,2
108,16,2,18,2
108,14,2,18,2
108,15,2,18,2
108,15,2,17,2
108,14,3,18,2
108,15,3,17,1
108,16,2,16,3
108,14,2,17,3
108,14,2,17,2
108,14,2,19,3
108,16,3,17,3
108,13,2,18,2
108,15,2,18,2
108,15,1,19,2
108,14,2,18,2
108,15,2,18,3
108,13,2,18,2
